last_location,average_delay,occ
saharsa,6.0000,0
VELLORE,6.0000,0
MAINPURI,6.0000,0
NEEMRANA,6.0000,0
PERAMBUR,6.0000,0
PHAGWARA,6.0000,0
RUDRAPUR,6.0000,0
TAMBARAM,6.0000,0
VAIJAPUR,6.0000,0
SOLAN,6.0000,0
KOTPUTALI,6.0000,0
NIMBAHERA,6.0000,0
RAEBARELI,6.0000,0
JHARSUGUDA,6.0000,0
MAHESHTALA,6.0000,0
"MEERUT HUB",6.0000,0
Umaria,6.0000,0
PUDUCHERRY,6.0000,0
"Murad Nagar",6.0000,0
PALLIKARNAI,6.0000,0
Tirunelveli,6.0000,0
UPPINANGADY,6.0000,0
VIRUDHUNAGAR,6.0000,0
"FARIDABAD NIT",6.0000,0
MUZAFFARNAGAR,6.0000,0
"PICNIC GARDEN",6.0000,0
"PMC WAREHOUSE",6.0000,0
"RAYGADA REACH",6.0000,0
THIRUNINRAVUR,6.0000,0
"COIMBATORE HUB",6.0000,0
"PANCHAVATI ETAIL",6.0000,0
"VAISHALI NAGAR",6.0000,0
"SHILLONG OFFICE",6.0000,0
SURENDRANAGAR,6.0000,0
"HAZARIBAG OFFICE",6.0000,0
"JAMMU OUTER AREA",6.0000,0
"LOHARDAGA OFFICE",6.0000,0
"SHAHABAD MARKANDA",6.0000,0
"TEOK, TEOK, ASSAM",6.0000,0
"MADHYA MARG OFFICE",6.0000,0
"VASAI APEX/SFC PUD",6.0000,0
"WARDHA ROAD OFFICE",6.0000,0
"CHENNAI AIRPORT HUB",6.0000,0
"PANIPAT ETAIL CENTRE",6.0000,0
"OKHLA E-TAIL DELIVERY",6.0000,0
"ROHINI SERVICE CENTRE",6.0000,0
"MALAKPET E-TAIL CENTRE",6.0000,0
"Thane, MAHARASHTRA, IN",6.0000,0
"JALANDHAR SERVICE CENTRE",6.0000,0
"MEHERPUR, Silchar, ASSAM",6.0000,0
"NOIDA-ETAIL DELIVERY/RTO",6.0000,0
"PATIALA, Patiala, PUNJAB",6.0000,0
"DEL/PC1, Delhi NCR, DELHI",6.0000,0
"Tijara, Tijara, RAJASTHAN",6.0000,0
"JLD/JUC, Jalandhar, PUNJAB",6.0000,0
"PNQ/MGR, PUNE, MAHARASHTRA",6.0000,0
"Talere, Talere, MAHARASHTRA",6.0000,0
